"","X1","X2","lake","year"
"site356",0.102293881844205,-0.170408128468211,"flame",NA
"site357",0.102293881844205,-0.170408128468211,"flame",NA
"site358",0.102293881844205,-0.170408128468211,"flame",NA
"site359",0.102293881844205,-0.170408128468211,"flame",NA
"site360",0.102293881844205,-0.170408128468211,"flame",NA
"site361",0.102293881844205,-0.170408128468211,"flame",NA
"site362",0.102293881844205,-0.170408128468211,"flame",NA
"site363",0.102293881844205,-0.170408128468212,"flame",NA
"site364",0.102293881844205,-0.170408128468212,"flame",NA
"site365",0.102293881844205,-0.170408128468212,"flame",NA
"site366",0.102293881844205,-0.170408128468212,"flame",NA
"site367",0.102293881844205,-0.170408128468211,"flame",NA
"site368",0.102293881844205,-0.170408128468212,"flame",NA
"site369",0.102293881844205,-0.170408128468211,"flame",NA
"site370",0.102293881844205,-0.170408128468212,"flame",NA
"site371",0.102293881844205,-0.170408128468211,"flame",NA
"site372",0.102293881844205,-0.170408128468211,"flame",NA
"site373",0.102293881844205,-0.170408128468211,"flame",NA
"site374",0.102293881844205,-0.170408128468212,"flame",NA
"site375",0.102293881844205,-0.170408128468211,"flame",NA
"site376",0.102293881844205,-0.170408128468211,"flame",NA
"site377",0.102293881844205,-0.170408128468211,"flame",NA
"site378",0.102293881844205,-0.170408128468212,"flame",NA
"site379",0.102293881844205,-0.170408128468212,"flame",NA
"site380",0.102293881844205,-0.170408128468212,"flame",NA
"site381",0.102293881844205,-0.170408128468212,"flame",NA
"site382",0.102293881844205,-0.170408128468212,"flame",NA
"site383",0.102293881844205,-0.170408128468212,"flame",NA
"site384",0.102293881844205,-0.170408128468212,"flame",NA
"site385",0.102293881844205,-0.170408128468212,"flame",NA
"site386",0.102293881844205,-0.170408128468212,"flame",NA
"site387",0.102293881844205,-0.170408128468212,"flame",NA
"site388",0.189040195569905,-0.0701451115991027,"elbow",NA
"site389",0.189040195569905,-0.0701451115991027,"elbow",NA
"site390",0.189040195569905,-0.0701451115991027,"elbow",NA
"site391",0.189040195569905,-0.0701451115991027,"elbow",NA
